Commitment_Amount_INR_Cr,Commitment_Letter__Conclusion,Current_Status,Date_of_first_meeting__call,Due_Diligence__Queries,FeelerTeaserLetter_Sent,Initial_Appraisal__Evaluation_process_started,Initial__Final_Drawdown,Investor_Type,Meetings__Detailed_DiscussionsIM_Sent,Notes,Organisation,Reference,Responsibility_TNIFMC,Status_Open__Closed,TNIFMC_Request_INR_Cr
5,True,Need to send contribution Agreement - Received Rs 5 Cr LOI,1678406400000,True,True,True,False,PSU Banks / PFIs,True,Need to send contribution Agreement - Received Rs 5 Cr LOI,IOB,CFM,K. Ganapathy Subramanian,Invested,5
30,True,THE GO is the Commitment Letter for TIDCO and TIDEL,1648771200000,True,True,True,True,Others,True,,TIDCO,Government,Krishna Chaitanya K,Invested,30
20,True,,1661990400000,True,True,True,True,Others,True,,TIDEL,Government,K. Ganapathy Subramanian,Invested,0
0,True,Setting up meetings in EU in month of October,1685577600000,True,True,True,False,Advisor,True,They are our advisors,Euro Asia Advisors,EAA,Krishna Chaitanya K,Open,0
0,True,,1725148800000,True,True,True,False,Advisor,True,,SBI Caps,Propreitory,Krishna Chaitanya K,Open,0
0,True,,1677628800000,True,True,True,False,Advisor,True,,SKC,Propreitory,Krishna Chaitanya K,Open,0
0,True,Meeting with the senior management in w/b 11 Nov 2024,1725148800000,True,True,True,False,Advisor,True,,Tipsons Group,Propreitory,Krishna Chaitanya K,Open,0
0,False,They are willing to take the transaction forward. Have queries on a past transaction with TNIFMC,1725148800000,True,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,Need to revert on their query on the p[ast transaction,ADB - PSOD,Propreitory,Krishna Chaitanya K,Inv / Credit Committee,200
0,False,Taking it up for their evaluation. Need to follow up MD&CEO,1681948800000,True,True,True,False,Sponsors,True,Meeting with MD pending; Presented to Treasury. Proposal to be sent to the Treasury,Canara Bank,Propreitory,Krishna Chaitanya K,Inv / Credit Committee,25
0,False,They are keen on ESSF. Want to have a more detailed discussion/call,1725148800000,True,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,DEG - Deutsche Inventions,Propreitory,Krishna Chaitanya K,Open,0
0,False,He has sent details of what he could do to help us,1731369600000,True,True,True,False,Advisor,True,,Dexter Nicolas - Vietnam,Propreitory,Satish S,Open,0
0,False,Finnish Government has decided to close down their Climate investments and Jari Motero who was interacting with us is himself seeking a new position,1685577600000,True,True,True,False,Domestic Pension Funds / Insurance Companies/MFs,True,Finnish Government has decided to close down their Climate investments and Jari Motero who was interacting with us is himself seeking a new position,Finnish Fund of Industrial Cooperation Ltd (FinnFund),Propreitory,Krishna Chaitanya K,Declined,50
0,False,Are interested in TN. Want to evaluate Green Climate Fund. Meeting pending,1685577600000,True,True,True,False,Corporates,True,,Gulf Islamic Investments,Propreitory,Krishna Chaitanya K,Closed / Deferred,25
0,False,They are taking it up with their Wealth Clients,1685577600000,True,True,True,False,SWFs / MFIs / Pension Funds / FoFs,True,,HDFC Bank Wealth,Propreitory,Krishna Chaitanya K,Open,50
